Name,Nation,Club,Position,Age,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Composure,Interceptions,Heading,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,Gender,GK
Murray Wallace,Scotland,Millwall,CB,30,71,58,29,55,59,72,79,53,62,57,21,60,21,34,44,58,24,34,55,56,67,61,70,71,70,79,80,82,69,Medium,Medium,Left,2,2,M,
Rémi Walter,France,Sporting KC,CDM,28,71,63,61,70,71,65,70,59,66,60,57,72,50,60,73,65,50,64,74,73,68,71,69,50,64,61,81,66,66,Medium,High,Left,4,3,M,
Wang Dalei,China PR,Shandong Taishan,GK,34,71,70,69,70,24,60,68,63,56,14,14,47,4,22,70,10,18,23,52,63,70,62,14,20,12,68,45,56,36,Medium,Medium,Right,3,1,M,72
Andreas Weimann,Austria,Bristol City,CAM,32,71,81,72,65,71,45,73,83,80,76,74,55,69,67,70,63,64,68,77,68,73,65,52,69,34,79,87,65,74,High,Medium,Right,3,3,M,
Tomáš Wiesner,Czech Republic,Sparta Praha,RWB,26,71,82,63,66,70,64,63,84,80,67,63,63,48,46,68,70,43,52,83,79,68,70,65,58,67,71,72,56,66,High,Medium,Right,2,3,M,
Joe Willis,United States,Nashville SC,GK,35,71,72,70,65,13,47,73,47,46,13,8,38,13,22,35,13,13,14,52,55,63,46,24,12,10,67,26,71,31,Medium,Medium,Left,3,1,M,71
Ben Wilmot,England,Stoke City,CB,23,71,56,39,55,62,72,72,58,55,34,20,65,34,31,53,44,31,28,42,53,68,64,72,72,71,76,71,73,69,High,Medium,Right,3,2,M,
Hannes Wolf,Austria,M'gladbach,LM,24,71,77,68,67,74,36,68,80,74,70,68,64,63,65,70,63,63,73,77,74,67,66,38,57,38,73,70,66,70,High,Medium,Left,3,3,M,
Mert Hakan Yandaş,Turkey,Fenerbahçe,CM,29,71,72,69,72,70,62,73,75,70,72,64,73,66,66,69,74,64,76,74,75,68,69,63,47,61,65,83,66,78,High,High,Right,4,3,M,
Jerry Yates,England,Swansea City,ST,26,71,78,71,57,72,29,68,77,79,72,74,43,63,75,66,50,46,57,74,80,69,69,24,68,22,76,83,65,54,High,High,Right,3,3,M,
Leny Yoro,France,LOSC Lille,CB,17,71,58,40,56,53,72,66,52,63,38,38,56,35,40,51,47,32,37,47,61,72,56,72,71,74,71,58,70,66,Medium,Medium,Right,3,2,M,
Élie Youan,France,Hibernian,LM,24,71,86,68,62,74,34,59,88,85,66,71,55,63,58,66,62,40,68,87,79,70,64,30,57,29,73,69,57,49,Medium,Medium,Right,3,4,M,
Alessandro Zanoli,Italy,Napoli FC,RB,23,71,73,40,62,70,68,70,74,72,62,38,56,37,47,55,69,38,60,69,53,70,63,69,60,67,76,68,74,63,Medium,Medium,Right,3,2,M,
Alessio Zerbin,Italy,Napoli FC,LW,24,71,73,67,67,75,36,65,71,75,69,69,59,61,58,66,67,53,72,73,60,64,68,32,48,31,66,72,70,45,Medium,Medium,Right,3,3,M,
Jeroen Zoet,Holland,Spezia,GK,32,71,70,73,74,15,51,71,55,45,11,12,37,19,27,57,17,20,13,54,42,65,41,20,19,16,69,40,67,18,Medium,Medium,Right,4,1,M,70
Abdelkabir Abqar,Morocco,D. Alavés,CB,24,70,47,31,49,43,71,65,36,56,24,27,46,32,38,36,35,31,33,47,34,65,50,69,72,74,66,54,70,67,Low,Medium,Right,3,2,M,
Ragnar Ache,Germany,Kaiserslautern,ST,25,70,86,65,51,67,28,75,81,90,66,66,45,56,60,54,41,34,47,67,69,65,68,17,78,22,95,66,81,68,High,Medium,Right,3,2,M,
Lucas Acosta,Argentina,Lanús,GK,28,70,69,71,70,14,60,68,61,59,17,17,22,16,25,29,12,19,18,59,59,60,34,28,19,21,71,40,68,20,Medium,Medium,Right,3,1,M,73
Kasim Adams Nuhu,Ghana,TSG Hoffenheim,CB,28,70,62,42,55,53,67,82,61,62,32,36,67,59,49,46,42,31,45,53,36,63,70,64,70,68,81,71,89,77,High,Medium,Right,2,2,M,
Junior Adamu,Austria,SC Freiburg,ST,22,70,81,69,52,68,22,68,79,83,71,69,36,68,72,59,41,58,63,80,73,66,70,21,69,12,82,66,75,48,Medium,Medium,Right,3,3,M,
Sargis Adamyan,Armenia,1. FC Köln,ST,30,70,79,70,63,72,34,69,81,77,67,71,58,70,60,65,58,44,57,78,73,67,62,22,63,26,78,75,68,64,Medium,Medium,Right,3,4,M,
Claud Adjapong,Italy,Ascoli,RB,25,70,71,51,65,70,68,60,70,71,71,51,69,40,42,60,68,39,59,69,66,71,70,70,64,68,67,55,57,70,Medium,Medium,Right,3,3,M,
Dapo Afolayan,England,FC St. Pauli,LM,26,70,81,66,62,74,48,69,83,79,67,67,61,54,54,64,61,56,59,76,74,65,68,40,55,40,73,81,60,76,Medium,Medium,Right,4,3,M,
Felix Agu,Germany,SV Werder Bremen,RWB,24,70,83,47,61,74,62,58,87,79,64,46,44,52,40,65,63,31,61,86,85,70,62,64,67,62,70,74,45,65,Medium,Medium,Right,3,3,M,
Naouirou Ahamada,France,Crystal Palace,CM,21,70,66,61,65,77,61,62,70,62,65,59,64,48,49,68,57,46,45,70,78,71,66,65,56,58,64,64,58,68,High,Medium,Right,3,2,M,
Lucas Ahijado,Spain,R. Oviedo,RB,28,70,78,59,65,67,65,67,76,80,64,53,62,59,51,65,68,58,67,80,74,62,57,66,53,66,69,84,64,53,Medium,Medium,Right,3,3,M,
Marian Aioani,Romania,Farul Constanța,GK,23,70,70,69,69,6,35,70,35,35,4,8,25,8,15,57,13,12,14,37,37,65,23,14,14,13,51,37,48,22,Medium,Medium,Right,2,1,M,71
Semi Ajayi,Nigeria,West Brom,CB,29,70,71,48,47,60,69,79,64,77,52,42,54,24,32,43,34,36,27,54,35,68,68,67,75,66,84,79,81,75,Medium,Medium,Right,2,2,M,
Samet Akaydın,Turkey,Fenerbahçe,CB,29,70,61,37,44,42,71,76,59,63,45,34,54,29,46,32,27,26,37,56,49,68,60,67,73,69,80,70,79,76,Medium,Medium,Right,2,2,M,
Ilias,Spain,Villarreal CF,RW,19,70,71,66,66,75,21,45,73,69,63,72,52,43,51,67,69,58,55,76,67,63,58,15,38,28,50,41,47,46,Medium,Medium,Left,4,4,M,
Gökhan Akkan,Turkey,Çaykur Rizespor,GK,28,70,70,66,66,15,48,70,48,48,13,15,26,12,21,34,15,18,12,49,59,63,54,25,13,19,57,35,69,20,Medium,Medium,Right,2,1,M,74
Saleh Al Amri,Saudi Arabia,Al Ittihad,LM,29,70,80,64,65,69,27,68,80,80,66,66,63,43,56,66,65,51,64,77,78,68,62,21,59,20,74,84,65,52,High,Medium,Right,3,3,M,
Sultan Al Ghannam,Saudi Arabia,Al Nassr,RB,29,70,80,59,68,71,63,68,80,80,68,58,65,56,52,67,74,49,68,75,82,66,65,67,56,58,63,84,60,69,High,Medium,Right,4,3,M,
Sami Al Khaibari,Saudi Arabia,Al Fayha,CB,34,70,55,27,43,33,71,80,52,57,27,22,55,28,43,37,22,28,29,37,64,66,50,70,79,69,84,84,85,60,Low,High,Right,3,2,M,
Musa Al Tamari,Jordan,Montpellier,RM,26,70,82,61,62,78,37,56,87,78,65,60,47,65,62,65,61,58,67,92,88,64,68,54,39,34,59,61,51,63,High,Medium,Left,4,3,M,
Marc Albrighton,England,Leicester City,RM,33,70,61,66,71,72,60,63,62,60,70,65,68,69,60,68,75,73,78,64,76,69,70,56,45,57,56,66,58,74,High,High,Right,3,3,M,
Jordy Alcívar,Ecuador,Independiente DV,CM,24,70,66,66,68,66,63,71,68,65,66,61,71,52,71,70,52,70,69,70,81,69,68,65,54,55,66,81,70,60,Medium,Medium,Right,3,2,M,
Alkain,Spain,D. Alavés,RM,26,70,79,70,61,75,26,54,84,75,64,74,58,58,59,65,63,51,52,81,82,62,60,22,55,26,72,64,59,24,Medium,Medium,Right,3,3,M,
Jim Allevinah,Gabon,Clermont Foot 63,RM,28,70,82,69,63,73,42,48,84,81,66,69,48,66,54,68,71,61,73,75,71,62,66,41,43,36,52,58,42,48,High,Medium,Right,4,3,M,
Ricardo Santos,Portugal,Bolton,CB,28,70,67,39,45,51,69,86,70,65,39,38,44,29,38,42,35,29,40,34,34,67,65,68,69,68,77,84,94,70,High,High,Right,3,2,M,
Giorgio Altare,Italy,Venezia,CB,25,70,61,39,47,50,71,77,54,66,42,35,57,33,41,40,41,32,34,44,48,58,53,70,70,70,77,64,85,75,Medium,High,Right,3,2,M,
Viti Rozada,Spain,R. Oviedo,RM,26,70,91,61,60,67,52,62,89,92,69,60,58,60,53,61,64,41,54,85,88,69,60,59,43,54,59,83,49,70,High,High,Right,3,3,M,
Antony,Brazil,Portland Timbers,RM,22,70,83,58,63,76,38,51,82,84,66,65,62,53,62,62,66,50,59,75,62,66,67,23,47,48,65,48,56,40,Medium,Medium,Right,3,3,M,
Bruno Amione,Argentina,Hellas Verona,CB,21,70,64,36,52,44,68,81,61,66,33,31,55,25,42,35,53,36,61,34,46,63,57,62,73,71,85,69,90,74,Medium,High,Left,2,2,M,
José Amo,Spain,CD Tenerife,CB,25,70,59,38,55,57,69,73,66,53,46,33,66,40,40,37,48,40,50,64,59,70,61,71,69,71,77,71,76,68,Medium,High,Right,3,2,M,
Mikael Anderson,Iceland,AGF,CM,25,70,79,65,67,72,64,73,79,79,66,67,66,62,50,70,65,62,65,82,83,70,72,65,60,60,76,83,68,70,High,High,Right,4,3,M,
Franko Andrijašević,Croatia,Zhejiang Pro,CM,32,70,69,71,67,70,56,79,69,69,73,71,69,67,70,71,56,61,69,59,48,68,70,54,74,58,86,74,85,69,High,Medium,Right,3,3,M,
Adil Aouchiche,France,Sunderland,LM,21,70,67,63,71,72,56,57,68,66,68,62,70,48,55,72,67,67,71,74,69,69,71,50,54,52,63,59,60,47,Medium,Medium,Right,3,4,M,
Julian Araujo,Mexico,UD Las Palmas,RB,22,70,80,33,61,67,65,70,79,80,65,25,62,22,36,57,65,25,55,79,71,62,62,62,56,67,71,81,60,80,High,High,Right,2,2,M,
Lucas Arce,Argentina,Godoy Cruz,RB,26,70,85,42,60,71,62,61,86,84,58,38,57,34,44,49,69,40,59,83,85,66,66,66,43,65,56,85,45,72,High,Low,Right,3,2,M,
Jorge Arias,Colombia,Millonarios,CB,30,70,76,48,60,54,68,81,70,80,46,40,67,35,64,50,59,70,58,71,63,73,63,72,68,67,81,84,84,72,Medium,High,Left,3,2,M,
Alexis Arias,Peru,FBC Melgar,CM,27,70,59,64,67,65,72,54,63,55,68,65,65,40,68,80,58,70,55,80,83,70,53,75,64,69,53,81,36,66,Medium,Medium,Right,3,2,M,
José Arnáiz,Spain,CA Osasuna,LM,28,70,80,72,61,73,40,68,85,76,66,70,60,62,64,60,61,66,65,83,77,65,65,29,67,28,80,79,68,52,High,Medium,Right,4,4,M,
Zoran Arsenić,Croatia,Raków,CB,29,70,69,40,59,57,69,79,70,68,43,32,65,44,39,46,59,39,44,67,72,70,62,68,64,69,79,77,81,74,High,High,Right,3,2,M,
Ahmet Arslan,Germany,1. FC Magdeburg,CM,29,70,67,71,69,70,58,65,72,63,69,75,69,64,74,69,60,74,68,76,74,69,68,59,45,57,62,69,60,73,Medium,Medium,Right,4,3,M,
Andrei Artean,Romania,Farul Constanța,CDM,30,70,68,64,63,60,67,79,68,68,62,58,64,53,69,61,50,55,60,67,74,68,73,72,65,65,77,84,79,74,Medium,High,Right,3,2,M,
Joel Asoro,Sweden,FC Metz,RW,24,70,91,66,59,72,21,71,92,91,68,69,54,57,60,62,63,39,55,84,86,65,60,18,56,20,79,80,70,61,High,Medium,Right,3,3,M,
Britt Assombalonga,Congo DR,Antalyaspor,ST,30,70,80,68,59,66,35,74,79,80,68,69,46,66,70,59,58,64,69,73,70,66,70,33,70,29,87,59,84,62,Medium,Low,Right,3,3,M,
Gustavo Assunção,Brazil,FC Famalicão,CDM,23,70,65,58,64,72,67,65,66,65,56,54,69,56,42,64,50,63,58,76,75,70,75,68,54,68,61,76,58,68,Medium,Medium,Right,3,3,M,
Jani Atanasov,North Macedonia,Cracovia,CM,23,70,71,62,71,66,63,71,68,73,63,53,72,47,48,71,64,76,68,64,55,67,58,68,63,58,74,70,73,68,Medium,High,Right,3,2,M,
Atienza,Spain,Burgos CF,CDM,24,70,56,61,62,66,65,68,56,56,67,69,70,27,49,70,41,48,32,59,53,70,57,68,42,68,55,71,70,64,Medium,Medium,Right,3,3,M,
Noah Atubolu,Germany,SC Freiburg,GK,21,70,71,65,71,11,35,70,35,36,9,8,31,8,14,50,12,12,13,32,31,65,44,13,13,12,67,29,79,26,Medium,Medium,Right,3,1,M,73
Carlos Auzqui,Argentina,San Lorenzo,CAM,32,70,77,68,70,70,52,77,76,77,70,66,67,69,61,71,72,57,63,80,69,68,67,57,72,47,84,83,72,81,High,Medium,Right,3,3,M,
Írven Ávila,Peru,Sporting Cristal,ST,33,70,66,74,61,70,33,59,67,65,73,79,55,65,73,66,62,56,56,75,88,70,64,33,66,20,69,62,60,50,Medium,Medium,Right,3,3,M,
Paulo Azzi,Brazil,Cagliari,LB,29,70,82,65,65,75,61,72,80,84,66,63,59,60,58,64,70,55,71,75,65,67,69,64,58,62,77,76,71,66,High,Medium,Right,3,3,M,
Volkan Babacan,Turkey,Başakşehir,GK,35,70,70,68,67,14,50,76,49,51,17,15,29,14,12,53,12,12,16,49,50,60,62,27,16,15,64,31,61,29,Medium,Medium,Right,2,1,M,67
Juninho Bacuna,Curaçao,Birmingham City,CDM,26,70,73,68,70,74,65,77,76,71,68,62,71,61,59,70,70,67,69,73,71,67,65,63,61,59,79,75,74,84,Medium,Medium,Right,4,4,M,
Aliou Badji,Senegal,Bordeaux,ST,25,70,87,69,44,68,26,85,85,88,71,69,33,62,53,59,28,48,53,73,58,52,65,16,72,19,94,86,86,79,Medium,Low,Right,3,3,M,
Miguel Baeza,Spain,CD Mirandés,RM,23,70,65,64,72,69,44,50,65,65,66,68,75,53,49,70,71,54,70,67,73,65,65,40,43,50,48,59,48,44,Medium,Medium,Left,3,3,M,
Sinan Bakış,Turkey,Real Zaragoza,ST,29,70,37,72,57,67,29,68,39,36,75,75,60,64,73,57,35,52,34,39,55,73,64,24,75,24,75,48,81,59,Medium,Low,Right,3,2,M,
William Balikwisha,Congo DR,Standard Liège,CAM,24,70,76,62,64,77,41,57,79,74,64,64,64,47,53,65,61,48,62,87,75,70,65,49,49,30,61,70,53,51,Medium,High,Right,3,4,M,
Alexandru Băluță,Romania,FCSB,CAM,30,70,83,67,67,70,49,68,84,83,66,66,65,65,65,69,66,66,63,85,86,66,67,48,68,45,79,70,65,68,Medium,Medium,Right,4,3,M,
Lameck Banda,Zambia,Lecce,LW,22,70,89,64,58,80,30,44,88,89,64,65,56,73,66,55,62,49,65,77,86,63,62,25,48,28,56,60,36,41,Medium,Low,Right,2,3,M,
Shandon Baptiste,Grenada,Brentford,CM,25,70,70,58,67,77,68,69,71,70,69,56,66,58,41,71,65,41,51,72,79,70,74,70,61,66,73,66,69,70,Medium,Medium,Right,4,3,M,
Tai Baribo,Israel,Philadelphia,ST,25,70,72,72,51,66,25,70,72,72,74,74,38,68,71,61,36,44,56,72,69,68,71,12,66,20,77,73,71,61,Medium,Medium,Right,3,3,M,
Alain Baroja,Venezuela,Caracas F.C.,GK,33,70,71,67,60,19,42,66,42,42,19,13,32,18,25,65,13,14,13,32,57,71,33,22,15,19,63,44,66,19,Medium,Medium,Right,3,1,M,74
Álvaro Barreal,Argentina,FC Cincinnati,LM,23,70,79,64,66,74,45,58,76,81,64,62,61,59,49,67,68,67,66,80,80,57,60,45,45,55,56,72,47,68,High,Medium,Left,3,3,M,
Michael Barrios,Colombia,LA Galaxy,RM,32,70,83,66,65,73,40,53,85,82,69,65,60,69,59,69,66,65,64,85,92,62,72,34,54,25,60,71,44,52,Medium,Low,Right,2,3,M,
Filipe Soares,Portugal,PAOK FC,CM,24,70,66,67,68,72,56,68,67,65,69,65,69,63,53,68,56,70,71,69,67,72,64,60,51,38,64,73,67,63,High,Medium,Right,3,3,M,
Alex Soares,Portugal,Estoril Praia,CM,32,70,64,61,66,72,58,67,68,61,65,54,68,56,48,70,56,48,53,64,70,72,57,60,53,52,63,79,60,71,Medium,Medium,Right,3,3,M,
Modou Barrow,Gambia,Sivasspor,RM,30,70,92,63,61,74,37,57,93,91,71,64,59,61,58,62,64,55,61,90,86,65,68,50,47,34,66,65,52,55,Medium,Low,Left,2,4,M,
Kyle Bartley,England,West Brom,CB,32,70,49,29,49,44,69,80,48,50,35,26,53,23,40,38,39,34,33,34,36,67,66,68,71,64,71,68,87,80,Medium,High,Right,3,2,M,
Samuel Bastien,Congo DR,Kasımpaşa,CM,27,70,72,66,70,72,62,69,75,69,64,61,71,66,67,65,68,62,73,74,78,70,69,66,53,58,68,81,64,66,High,Medium,Right,3,3,M,
Danny Batth,England,Norwich,CB,33,70,30,23,41,31,71,81,28,32,35,20,53,18,27,39,24,16,25,28,33,66,51,71,73,64,74,62,91,81,Low,High,Right,2,2,M,
Dylan Batubinsika,Congo DR,AS Saint-Étienne,CB,27,70,69,28,51,50,68,78,66,72,24,21,60,20,31,54,35,28,22,52,57,61,61,66,72,66,84,64,84,80,Medium,Medium,Right,3,2,M,
Daniel Batz,Germany,1. FSV Mainz 05,GK,32,70,71,66,67,19,35,70,36,33,12,11,34,12,23,39,16,10,10,44,38,64,48,14,20,12,61,29,61,23,Medium,Medium,Right,2,1,M,74
Robert Bauer,Germany,Al Tai,CB,28,70,67,51,61,62,69,75,65,69,50,40,65,50,44,58,65,47,48,63,65,69,70,69,66,67,75,71,75,81,Medium,Medium,Right,2,2,M,
Dominik Baumgartner,Austria,Wolfsberger AC,CB,27,70,68,35,52,42,70,74,68,68,41,29,61,22,36,35,51,24,41,64,59,68,58,69,70,68,78,71,76,72,Medium,High,Right,2,2,M,
Jon Bautista,Spain,SD Eibar,ST,28,70,70,72,58,68,26,64,70,70,70,71,58,71,70,52,47,57,64,65,69,67,69,16,66,16,72,72,68,43,Medium,Medium,Right,3,3,M,
Vakoun Issouf Bayo,Côte d'Ivoire,Watford,ST,26,70,76,70,54,66,25,77,75,77,68,71,43,68,71,48,55,44,58,70,54,66,63,21,70,25,84,65,82,78,High,Medium,Right,3,3,M,
Finn Ole Becker,Germany,TSG Hoffenheim,CM,23,70,69,55,67,75,58,60,76,64,63,56,72,48,49,71,55,39,57,82,80,70,67,50,53,62,62,80,51,59,Medium,Medium,Left,3,3,M,
Chris Bedia,Côte d'Ivoire,Servette FC,ST,27,70,73,68,54,66,33,78,67,78,72,70,45,54,68,61,39,53,55,69,60,68,70,32,69,27,80,67,82,81,Medium,Low,Left,2,2,M,
Abdelkader Bedrane,Algeria,Damac FC,CB,31,70,60,30,51,46,69,73,56,64,35,24,57,17,39,37,42,28,31,45,50,63,62,70,74,71,79,69,77,68,Medium,Medium,Right,2,2,M,
Maximilian Beier,Germany,TSG Hoffenheim,ST,20,70,90,68,61,70,25,57,86,94,75,72,55,58,61,67,55,41,50,80,74,69,57,22,61,17,71,78,50,47,Medium,Medium,Right,3,3,M,
Alexis Beka Beka,France,OGC Nice,CDM,22,70,74,57,63,72,67,71,77,72,65,50,71,36,44,56,59,44,53,71,78,69,67,68,52,66,71,76,69,70,Medium,High,Right,3,2,M,
Alessandro Bellemo,Italy,Como,CM,28,70,54,58,64,68,63,69,51,56,58,63,67,45,52,62,44,42,58,62,67,68,68,71,58,59,60,92,60,65,Medium,Medium,Right,2,2,M,
Ahmad Benali,Libya,Bari,CM,31,70,76,63,68,70,44,63,83,70,69,59,71,60,67,71,56,67,60,92,89,73,71,58,39,54,61,79,58,54,Medium,Medium,Right,2,4,M,
Carlos Benavídez,Uruguay,D. Alavés,CDM,25,70,67,44,63,62,71,72,70,65,40,38,61,36,53,65,60,43,45,62,59,69,70,72,68,72,74,68,70,80,Medium,High,Right,3,2,M,
Leandro Benegas,Chile,Colo-Colo,ST,34,70,67,68,63,69,40,81,69,66,74,69,63,69,70,68,64,46,62,70,60,70,73,39,75,18,86,83,83,74,High,High,Left,4,3,M,
Oliver Berg,Norway,Malmö FF,CF,30,70,75,68,65,67,54,78,73,76,74,67,57,59,62,70,62,50,60,76,75,69,68,59,55,48,74,91,75,71,High,High,Right,3,3,M,
Marcus Berg,Sweden,IFK Göteborg,ST,37,70,65,70,63,66,35,68,64,66,77,70,51,70,70,64,56,57,66,70,71,65,73,28,74,25,78,66,71,59,High,Low,Right,4,3,M,
Robert Berić,Slovenia,Tianjin JMT FC,ST,32,70,56,71,63,65,37,77,63,51,74,72,65,69,71,69,52,56,65,58,51,74,71,38,71,23,84,69,86,65,Medium,Medium,Right,3,3,M,
Álex Bermejo,Spain,Burgos CF,LM,24,70,73,69,66,73,53,64,77,70,65,70,66,51,70,66,60,67,63,77,72,62,74,47,54,56,70,73,65,48,High,Medium,Right,3,3,M,
Bermejo,Spain,Real Zaragoza,RM,26,70,78,58,68,75,41,55,74,81,59,59,73,41,44,69,64,72,70,88,84,68,67,46,38,35,56,60,58,40,Medium,Medium,Left,2,3,M,
Matúš Bero,Slovakia,VfL Bochum,CAM,28,70,68,71,69,71,67,83,68,68,74,70,69,69,67,68,66,64,69,69,73,72,68,66,62,61,77,93,80,79,High,High,Right,3,3,M,
Berrocal,Spain,SD Eibar,CB,23,70,59,38,50,39,70,74,56,62,33,29,58,34,49,41,34,35,31,61,61,68,58,69,68,69,74,72,77,68,Low,Medium,Right,2,2,M,
Omar Bertel,Colombia,Millonarios,LB,27,70,82,41,53,54,67,61,84,80,53,40,50,33,41,45,58,40,46,74,69,65,55,68,51,67,69,78,58,47,High,Medium,Left,3,2,M,
Nahir Besara,Sweden,Hammarby IF,CAM,32,70,69,70,71,68,44,67,67,70,70,71,68,63,62,72,68,68,75,70,70,67,67,51,56,45,68,72,69,56,Medium,Medium,Right,3,3,M,
Marcus Bettinelli,England,Chelsea,GK,31,70,71,68,72,15,30,71,34,24,6,14,48,12,18,40,12,19,12,39,40,60,52,15,11,17,45,22,40,33,Medium,Medium,Right,3,1,M,72
Giulian Biancone,France,Nott'm Forest,CB,23,70,64,45,62,66,69,72,59,68,62,29,58,35,48,51,70,44,66,54,51,66,66,65,68,71,75,61,78,70,High,Medium,Right,4,3,M,
Davide Biraschi,Italy,Karagümrük SK,RWB,29,70,61,36,60,67,72,69,68,55,47,31,64,30,32,55,57,38,56,67,68,72,77,72,67,72,75,64,72,68,Medium,Medium,Right,2,2,M,
Colby Bishop,England,Portsmouth,ST,26,70,73,68,54,61,34,81,71,74,72,73,44,63,72,60,38,51,49,66,69,69,66,30,71,23,85,90,80,69,Medium,Medium,Right,3,3,M,
Mariano Bíttolo,Argentina,Argentinos Jrs.,LM,33,70,75,48,68,68,67,64,78,72,67,48,69,35,47,69,73,38,75,74,75,69,69,70,67,70,73,70,58,68,High,Medium,Left,2,3,M,
Stipe Biuk,Croatia,LAFC,LW,20,70,81,62,64,78,38,61,79,83,68,66,60,46,56,71,63,57,51,69,58,67,59,38,48,39,66,70,60,53,Medium,Medium,Right,5,3,M,
Lautaro Blanco,Argentina,Elche CF,LB,24,70,77,43,63,70,63,69,76,78,53,35,65,34,43,48,75,37,66,73,73,68,55,60,52,67,69,77,66,64,High,Medium,Left,3,3,M,
Álex Blanco,Spain,Como,LM,24,70,81,63,66,70,37,54,81,81,60,68,68,44,56,61,69,45,54,82,80,61,63,42,45,28,64,60,56,40,Medium,Medium,Left,3,3,M,
Brian Blasi,Argentina,Central Córdoba,RB,27,70,68,41,58,58,69,79,65,70,50,32,57,45,48,46,58,33,44,66,54,71,57,71,65,66,76,81,77,80,Medium,High,Right,3,2,M,
Latif Blessing,Ghana,Toronto FC,CM,26,70,86,61,64,74,66,60,88,85,64,60,61,62,60,71,49,56,43,90,82,69,67,70,51,64,60,86,43,70,High,High,Right,4,3,M,
Merveille Bokadi,Congo DR,Standard Liège,CB,27,70,56,33,53,62,70,76,47,63,38,24,67,30,35,54,22,32,44,44,61,69,70,70,71,70,72,81,74,76,Medium,Medium,Right,2,2,M,
Cristian Bordacahar,Argentina,FBC Melgar,RW,31,70,83,64,61,76,27,62,82,84,62,66,51,53,66,60,68,56,53,76,64,70,59,16,67,22,80,71,69,31,High,Medium,Right,3,4,M,
Jan Bořil,Czech Republic,Slavia Praha,LB,32,70,67,60,68,67,69,75,65,68,71,58,68,60,51,68,72,49,65,69,82,64,69,69,67,70,75,66,74,90,High,Medium,Right,5,3,M,
Hugo Boumous,Morocco,ATK Mohun Bagan,CAM,28,70,79,64,68,73,40,69,76,82,68,68,66,57,65,67,67,67,68,90,78,67,67,47,58,38,72,70,65,79,High,Low,Right,3,4,M,
Mehdi Bourabia,Morocco,Frosinone,CM,32,70,58,60,69,71,65,64,58,58,62,49,73,57,54,68,58,72,53,66,60,71,69,68,58,67,63,70,63,61,Medium,Medium,Right,3,3,M,
Sonny Bradley,England,Derby County,CB,32,70,51,31,47,44,69,76,50,52,41,28,53,26,20,40,36,22,20,55,33,66,62,69,71,68,78,67,81,75,Medium,High,Left,3,2,M,
Robbie Brady,Republic of Ireland,Preston,LWB,31,70,63,66,75,68,64,66,65,62,70,63,76,66,65,76,76,69,78,74,78,69,70,69,58,63,66,64,63,76,Medium,Medium,Left,4,4,M,
Diego Braghieri,Argentina,Lanús,CB,36,70,57,48,49,50,69,78,61,54,38,35,59,37,48,46,28,39,36,44,53,60,70,66,74,68,83,62,82,86,Low,Medium,Left,2,2,M,
Tim Breithaupt,Germany,FC Augsburg,CDM,21,70,49,41,60,57,69,71,47,51,29,32,68,44,40,65,40,34,39,45,41,64,58,66,59,65,64,82,71,58,Low,Medium,Right,3,2,M,
Mark Brink,Denmark,Silkeborg IF,CM,25,70,65,55,67,66,62,68,67,64,65,55,70,54,54,71,56,57,58,74,77,71,72,66,40,59,56,87,63,61,Medium,Medium,Right,3,2,M,
Callum Brittain,England,Blackburn Rovers,RB,25,70,80,51,60,68,65,65,78,81,56,50,56,42,50,52,71,48,51,79,73,64,54,64,52,65,69,75,64,52,High,Medium,Right,4,3,M,
Felicio Brown Forbes,Costa Rica,Qingdao Hainiu,ST,32,70,81,67,56,65,44,83,80,82,70,74,47,41,56,59,57,49,54,59,64,61,60,44,72,34,93,75,90,72,High,Medium,Right,3,3,M,
Alan Browne,Republic of Ireland,Preston,CM,28,70,73,68,67,69,66,78,73,73,67,66,69,69,66,68,64,51,55,76,78,70,70,69,69,64,79,89,73,76,High,High,Right,4,3,M,
Joe Bryan,England,Millwall,LB,30,70,74,60,68,66,67,71,76,73,66,55,70,45,61,63,71,62,69,76,79,62,63,65,67,68,78,71,70,70,High,High,Left,4,3,M,
Ola Brynhildsen,Norway,FC Midtjylland,ST,24,70,85,70,63,71,49,67,86,84,71,73,58,59,59,66,60,52,61,82,82,67,71,49,57,53,73,82,59,68,High,Medium,Right,3,3,M,
André Bukia,Congo DR,Arouca,RM,28,70,85,65,57,78,36,56,83,87,64,67,55,55,59,54,54,39,58,81,84,69,59,21,44,27,55,80,45,56,Medium,Medium,Left,2,3,M,
Onur Bulut,Turkey,Beşiktaş,RB,29,70,77,59,69,70,64,72,76,78,67,58,69,51,53,67,74,67,68,81,73,65,65,68,52,62,70,81,67,74,Medium,High,Right,4,3,M,
Andrei Burcă,Romania,Al Okhdood,CB,30,70,68,24,45,43,68,81,67,68,32,18,56,29,37,33,26,20,20,56,56,65,62,67,67,70,81,72,86,80,Medium,High,Right,3,2,M,
